timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-11-24T15:18:10,codecarbon,3d3fc160-c0cf-482a-b943-d40b13878d10,0.0033826828002929,6.720460732858832e-09,1.9867250728554222e-06,42.5,0.0,4.281216144561768,3.5020046763949934e-08,0,9.197834579784587e-10,3.5939830221928384e-08,Luxembourg,LUX,esch-sur-alzette,,,Linux-6.5.0-5-generic-x86_64-with-glibc2.38,3.11.4,2.3.1,4,Intel(R) Celeron(R) N5100 @ 1.10GHz,,,5.9802,49.4998,11.416576385498049,machine,N,1.0
2023-11-24T15:21:26,codecarbon,2a8d3ed2-1859-4e19-91c3-683b5b8377ef,0.0034804344177246,6.8683924381595465e-09,1.9734296394672103e-06,42.5,0.0,4.281216144561768,3.574623001946344e-08,0,9.84712684820958e-10,3.673094270428439e-08,Luxembourg,LUX,esch-sur-alzette,,,Linux-6.5.0-5-generic-x86_64-with-glibc2.38,3.11.4,2.3.1,4,Intel(R) Celeron(R) N5100 @ 1.10GHz,,,5.9802,49.4998,11.416576385498049,machine,N,1.0
2023-11-24T15:21:37,codecarbon,f4d135bd-bb3c-4687-810e-67e856f646d3,0.0031797885894775,6.190081902808417e-09,1.946696054980652e-06,42.5,0.0,4.281216144561768,3.245870272318522e-08,0,6.44755728558266e-10,3.3103458451743485e-08,Luxembourg,LUX,esch-sur-alzette,,,Linux-6.5.0-5-generic-x86_64-with-glibc2.38,3.11.4,2.3.1,4,Intel(R) Celeron(R) N5100 @ 1.10GHz,,,5.9802,49.4998,11.416576385498049,machine,N,1.0
2023-11-24T15:33:50,codecarbon,1f6012b3-5749-4775-b59f-fcd9d04e0bdf,0.0031929016113281,6.4787480369915695e-09,2.029109827251037e-06,42.5,0.0,4.281216144561768,3.370841344197591e-08,0,9.38780218670369e-10,3.464719366064628e-08,Luxembourg,LUX,esch-sur-alzette,,,Linux-6.5.0-5-generic-x86_64-with-glibc2.38,3.11.4,2.3.1,4,Intel(R) Celeron(R) N5100 @ 1.10GHz,,,5.9802,49.4998,11.416576385498049,machine,N,1.0
2023-11-24T15:35:12,codecarbon,c00d730c-ca11-4e29-9c3a-a6dc1d5083b5,0.0039200782775878,7.581094363353926e-09,1.9339140258236724e-06,42.5,0.0,4.281216144561768,3.966424200269911e-08,0,8.781039979529245e-10,4.0542346000652034e-08,Luxembourg,LUX,esch-sur-alzette,,,Linux-6.5.0-5-generic-x86_64-with-glibc2.38,3.11.4,2.3.1,4,Intel(R) Celeron(R) N5100 @ 1.10GHz,,,5.9802,49.4998,11.416576385498049,machine,N,1.0
2023-11-24T15:40:16,codecarbon,ee77be81-2bd2-4aee-89f6-39d5c7787a94,0.003803014755249,7.658335761878921e-09,2.013753891253953e-06,42.5,0.0,4.281216144561768,3.990067376030816e-08,0,1.0547455190135226e-09,4.0955419279321684e-08,Luxembourg,LUX,esch-sur-alzette,,,Linux-6.5.0-5-generic-x86_64-with-glibc2.38,3.11.4,2.3.1,4,Intel(R) Celeron(R) N5100 @ 1.10GHz,,,5.9802,49.4998,11.416576385498049,machine,N,1.0
2023-11-24T15:41:09,codecarbon,107a693c-91ed-469b-a2b9-6bf3f8d60eb5,0.003725528717041,7.549401963157747e-09,2.0263974690695247e-06,42.5,0.0,4.281216144561768,3.9346184995439326e-08,0,1.0266756785881628e-09,4.037286067402748e-08,Luxembourg,LUX,esch-sur-alzette,,,Linux-6.5.0-5-generic-x86_64-with-glibc2.38,3.11.4,2.3.1,4,Intel(R) Celeron(R) N5100 @ 1.10GHz,,,5.9802,49.4998,11.416576385498049,machine,N,1.0
2023-11-24T15:46:59,codecarbon,896516db-0800-4c10-8d18-af13fdaa83f5,0.0015864372253417,3.175096756069813e-09,2.001400815204485e-06,42.5,0.0,4.281216144561768,1.6578369670444064e-08,0,4.0148377820514714e-10,1.6979853448649212e-08,Luxembourg,LUX,esch-sur-alzette,,,Linux-6.5.0-5-generic-x86_64-with-glibc2.38,3.11.4,2.3.1,4,Intel(R) Celeron(R) N5100 @ 1.10GHz,,,5.9802,49.4998,11.416576385498049,machine,N,1.0
2023-11-24T15:47:29,codecarbon,6542311f-296c-40d0-b97e-152f15767d62,0.0035574436187744,6.7579835122494875e-09,1.899674102095173e-06,42.5,0.0,4.281216144561768,3.5262107849121095e-08,0,8.78387531694594e-10,3.614049538081569e-08,Luxembourg,LUX,esch-sur-alzette,,,Linux-6.5.0-5-generic-x86_64-with-glibc2.38,3.11.4,2.3.1,4,Intel(R) Celeron(R) N5100 @ 1.10GHz,,,5.9802,49.4998,11.416576385498049,machine,N,1.0
2023-11-24T15:48:18,codecarbon,6e2d944d-67fe-4e6a-b920-e1cae4dce2d7,0.0033326148986816,6.5455978139580205e-09,1.9641026680122607e-06,42.5,0.0,4.281216144561768,3.4215052922566735e-08,0,7.896414705517904e-10,3.5004694393118536e-08,Luxembourg,LUX,esch-sur-alzette,,,Linux-6.5.0-5-generic-x86_64-with-glibc2.38,3.11.4,2.3.1,4,Intel(R) Celeron(R) N5100 @ 1.10GHz,,,5.9802,49.4998,11.416576385498049,machine,N,1.0
